fund,fund_type,fund_desc,wbs_objnr,wbs_posid,wbs_post1,link_tier,ps_pool_2026,fm_pool_2026_min,fm_blocking_bucket,state,deficit_severity_rank,postings_count_2024_26,wbs_fund_count
235CMR3003,108,,PR00046585,235CMR3003.2.4,4. Services contractuels,HARD,0.0,-4750.59,YAO/11,BOTH-EXHAUSTED,1065,95,1
235CMR3003,108,,PR00046586,235CMR3003.2.5,5. Frais de déplacement,HARD,0.0,-4750.59,YAO/11,FM-EXHAUSTED,1066,38,1
235CMR3003,108,,PR00046587,235CMR3003.2.6,6. Transferts et subventions aux homolog,HARD,0.0,-4750.59,YAO/11,BOTH-EXHAUSTED,1067,52,1
235CMR3003,108,,PR00046588,235CMR3003.2.7,7. Frais généraux de fonctionnement et a,HARD,4885.32,-4750.59,YAO/11,FM-EXHAUSTED,1068,42,1
235CMR3003,108,,PR00046591,235CMR3003.3.2,"2. Fournitures, produits de base, matéri",HARD,0.0,-4750.59,YAO/11,BOTH-EXHAUSTED,1069,4,1
235CMR3003,108,,PR00046593,235CMR3003.3.4,4. Services contractuels,HARD,0.0,-4750.59,YAO/11,BOTH-EXHAUSTED,1070,5,1
235CMR3003,108,,PR00046595,235CMR3003.3.6,6. Transferts et subventions aux homolog,HARD,-0.0,-4750.59,YAO/11,BOTH-EXHAUSTED,1071,7,1
235CMR3003,108,,PR00046596,235CMR3003.3.7,7. Frais généraux de fonctionnement et a,HARD,0.0,-4750.59,YAO/11,BOTH-EXHAUSTED,1072,8,1
235CMR3003,108,,PR00046599,235CMR3003.4.2,"2. Fournitures, produits de base, matéri",HARD,0.0,-4750.59,YAO/11,BOTH-EXHAUSTED,1073,17,1
235CMR3003,108,,PR00046600,235CMR3003.4.3,"3. Équipement, véhicules et mobilier (co",HARD,0.0,-4750.59,YAO/11,BOTH-EXHAUSTED,1074,9,1
235CMR3003,108,,PR00046601,235CMR3003.4.4,4. Services contractuels,HARD,0.0,-4750.59,YAO/11,BOTH-EXHAUSTED,1075,30,1
235CMR3003,108,,PR00046602,235CMR3003.4.5,5. Frais de déplacement,HARD,81.19,-4750.59,YAO/11,FM-EXHAUSTED,1076,27,1
235CMR3003,108,,PR00046603,235CMR3003.4.6,6. Transferts et subventions aux homolog,HARD,192.25,-15945.2,YAO/13,FM-EXHAUSTED,745,10,1
