wbs_objnr,wbs_posid,wbs_post1,fund,fund_type,fund_count_on_wbs,fund_consumption_2024_26,total_consumption_2024_26,fund_share_pct,postings_count_2024_26
PR00027627,680REV9001,Management Cost PFF technical account,235GUI3006,108,1211,14463.81,48376526.57,0.03,16
PR00027627,680REV9001,Management Cost PFF technical account,235HAI1000,108,1211,19796.29,48376526.57,0.04,18
PR00027627,680REV9001,Management Cost PFF technical account,235KYR5000,108,1211,24190.74,48376526.57,0.05,25
PR00027627,680REV9001,Management Cost PFF technical account,235KYR5001,108,1211,1217.21,48376526.57,0.0,5
PR00027627,680REV9001,Management Cost PFF technical account,235MAG2000,105,1211,17740.94,48376526.57,0.04,9
PR00027627,680REV9001,Management Cost PFF technical account,235MAG5003,105,1211,26105.66,48376526.57,0.05,23
PR00027627,680REV9001,Management Cost PFF technical account,235MLI1000,108,1211,6400.9,48376526.57,0.01,6
PR00027627,680REV9001,Management Cost PFF technical account,235MLI1001,108,1211,11245.41,48376526.57,0.02,10
PR00027627,680REV9001,Management Cost PFF technical account,235MNE4001,108,1211,11225.64,48376526.57,0.02,20
PR00027627,680REV9001,Management Cost PFF technical account,235MYA5001,108,1211,1100.72,48376526.57,0.0,3
PR00027627,680REV9001,Management Cost PFF technical account,235RER4000,108,1211,18402.1,48376526.57,0.04,18
PR00027627,680REV9001,Management Cost PFF technical account,235RSS1001,108,1211,45162.61,48376526.57,0.09,15
PR00027627,680REV9001,Management Cost PFF technical account,235RSS3000,108,1211,71576.56,48376526.57,0.15,21
PR00027627,680REV9001,Management Cost PFF technical account,235RSS5000,108,1211,20516.43,48376526.57,0.04,25
PR00027627,680REV9001,Management Cost PFF technical account,235SRL3000,108,1211,12114.41,48376526.57,0.03,17
PR00027627,680REV9001,Management Cost PFF technical account,251GLO2000,108,1211,19427.42,48376526.57,0.04,20
